warmup step 147 ; o=-0.0018993706908077002
warmup step 148 ; o=-0.0019110501743853092
warmup step 149 ; o=-0.0019347326597198844
warmup step 150 ; o=-0.0019619627855718136
warmup step 151 ; o=-0.00191305426415056
warmup step 152 ; o=-0.00191305426415056
warmup step 153 ; o=-0.0019467729143798351
warmup step 154 ; o=-0.0019444659119471908
warmup step 155 ; o=-0.0019444659119471908
warmup step 156 ; o=-0.0019444659119471908
warmup step 157 ; o=-0.0019859690219163895
warmup step 158 ; o=-0.0019695626106113195
warmup step 159 ; o=-0.0020181850995868444
warmup step 160 ; o=-0.0020181850995868444
warmup step 161 ; o=-0.0020476789213716984
warmup step 162 ; o=-0.0020476789213716984
warmup step 163 ; o=-0.00204425654374063
warmup step 164 ; o=-0.00204425654374063
warmup step 165 ; o=-0.002085178392007947
warmup step 166 ; o=-0.0020995521917939186
warmup step 167 ; o=-0.002137347124516964
warmup step 168 ; o=-0.002161049284040928
warmup step 169 ; o=-0.002161049284040928
warmup step 170 ; o=-0.0021612304262816906
warmup step 171 ; o=-0.002232337137684226
warmup step 172 ; o=-0.002188139595091343
warmup step 173 ; o=-0.0022388543002307415
warmup step 174 ; o=-0.0022388543002307415
warmup step 175 ; o=-0.0022388543002307415
warmup step 176 ; o=-0.0022388543002307415
warmup step 177 ; o=-0.0022301203571259975
warmup step 178 ; o=-0.0022227931767702103
warmup step 179 ; o=-0.002217894420027733
warmup step 180 ; o=-0.002250933088362217
warmup step 181 ; o=-0.0022613368928432465
warmup step 182 ; o=-0.0022613368928432465
warmup step 183 ; o=-0.0022613368928432465
warmup step 184 ; o=-0.0022286702878773212
warmup step 185 ; o=-0.002289343625307083
warmup step 186 ; o=-0.002317222999408841
warmup step 187 ; o=-0.0023275245912373066
warmup step 188 ; o=-0.0023275245912373066
warmup step 189 ; o=-0.0023275245912373066
warmup step 190 ; o=-0.0023631276562809944
warmup step 191 ; o=-0.0023662904277443886
warmup step 192 ; o=-0.0023343211505562067
warmup step 193 ; o=-0.0023093009367585182
warmup step 194 ; o=-0.0022460336331278086
warmup step 195 ; o=-0.0022267703898251057
warmup step 196 ; o=-0.0022267703898251057
warmup step 197 ; o=-0.0022049255203455687
warmup step 198 ; o=-0.0022097639739513397
warmup step 199 ; o=-0.0022097639739513397
warmup step 200 ; o=-0.0022097639739513397
warmup step 201 ; o=-0.0021590287797152996
warmup step 202 ; o=-0.0021590287797152996
warmup step 203 ; o=-0.0021683932282030582
warmup step 204 ; o=-0.0021683932282030582
warmup step 205 ; o=-0.0021184980869293213
warmup step 206 ; o=-0.002178850118070841
warmup step 207 ; o=-0.002161642536520958
warmup step 208 ; o=-0.002157434821128845
warmup step 209 ; o=-0.002179912757128477
warmup step 210 ; o=-0.0021359927486628294
warmup step 211 ; o=-0.0021118398290127516
warmup step 212 ; o=-0.002097246004268527
warmup step 213 ; o=-0.0020685377530753613
warmup step 214 ; o=-0.0020275921560823917
warmup step 215 ; o=-0.0020132248755544424
warmup step 216 ; o=-0.0020132248755544424
warmup step 217 ; o=-0.0020342611242085695
warmup step 218 ; o=-0.001994549995288253
warmup step 219 ; o=-0.001994549995288253
warmup step 220 ; o=-0.002023711334913969
warmup step 221 ; o=-0.00199957937002182
warmup step 222 ; o=-0.002003147266805172
warmup step 223 ; o=-0.0020206368062645197
warmup step 224 ; o=-0.002054756274446845
warmup step 225 ; o=-0.002054756274446845
warmup step 226 ; o=-0.0020359698683023453
warmup step 227 ; o=-0.0020738872699439526
warmup step 228 ; o=-0.0020738872699439526
warmup step 229 ; o=-0.0020588706247508526
warmup step 230 ; o=-0.002080596052110195
warmup step 231 ; o=-0.0020824423991143703
warmup step 232 ; o=-0.002078537829220295
warmup step 233 ; o=-0.002078537829220295
warmup step 234 ; o=-0.00209536193870008
warmup step 235 ; o=-0.002091185888275504
warmup step 236 ; o=-0.0021194531582295895
warmup step 237 ; o=-0.0021194531582295895
warmup step 238 ; o=-0.0021194531582295895
warmup step 239 ; o=-0.002066077431663871
warmup step 240 ; o=-0.0020883064717054367
warmup step 241 ; o=-0.0021061175502836704
warmup step 242 ; o=-0.0021161879412829876
warmup step 243 ; o=-0.0021314136683940887
warmup step 244 ; o=-0.0021468261256814003
warmup step 245 ; o=-0.002130024367943406
warmup step 246 ; o=-0.0021320388186722994
warmup step 247 ; o=-0.0021727890707552433
warmup step 248 ; o=-0.0021727890707552433
warmup step 249 ; o=-0.0021896876860409975
warmup step 250 ; o=-0.0022115036845207214
warmup step 251 ; o=-0.00219945190474391
warmup step 252 ; o=-0.002213065279647708
warmup step 253 ; o=-0.0021836035884916782
warmup step 254 ; o=-0.002181642921641469
warmup step 255 ; o=-0.0021410463377833366
warmup step 256 ; o=-0.002143710386008024
warmup step 257 ; o=-0.0021434903610497713
warmup step 258 ; o=-0.002112044021487236
warmup step 259 ; o=-0.002112044021487236
warmup step 260 ; o=-0.0021132135298103094
warmup step 261 ; o=-0.0021132135298103094
warmup step 262 ; o=-0.0020890547893941402
warmup step 263 ; o=-0.002094670431688428
warmup step 264 ; o=-0.0020782812498509884
warmup step 265 ; o=-0.0021073720417916775
warmup step 266 ; o=-0.0021425127051770687
warmup step 267 ; o=-0.0021773213520646095
warmup step 268 ; o=-0.0021773213520646095
warmup step 269 ; o=-0.002188300248235464
warmup step 270 ; o=-0.0022255047224462032
warmup step 271 ; o=-0.0022802192252129316
warmup step 272 ; o=-0.002225362230092287
warmup step 273 ; o=-0.002280488843098283
warmup step 274 ; o=-0.0022317268885672092
warmup step 275 ; o=-0.002223498187959194
warmup step 276 ; o=-0.002215260174125433
warmup step 277 ; o=-0.0022638808004558086
warmup step 278 ; o=-0.002225296339020133
warmup step 279 ; o=-0.0022236413788050413
warmup step 280 ; o=-0.0022236413788050413
warmup step 281 ; o=-0.0021800531540066004
warmup step 282 ; o=-0.002153468783944845
warmup step 283 ; o=-0.002158817835152149
warmup step 284 ; o=-0.0021583661437034607
warmup step 285 ; o=-0.0021887822076678276
warmup step 286 ; o=-0.002183477859944105
warmup step 287 ; o=-0.002237632405012846
warmup step 288 ; o=-0.002225679811090231
warmup step 289 ; o=-0.002225679811090231
warmup step 290 ; o=-0.002158024115487933
warmup step 291 ; o=-0.002152170753106475
warmup step 292 ; o=-0.002152170753106475
warmup step 293 ; o=-0.002152170753106475
warmup step 294 ; o=-0.002152170753106475
warmup step 295 ; o=-0.0021452594082802534
warmup step 296 ; o=-0.0021452594082802534
warmup step 297 ; o=-0.0021505707409232855
warmup step 298 ; o=-0.002141864039003849
warmup step 299 ; o=-0.002141864039003849
warmup step 300 ; o=-0.002110500121489167
warmup step 301 ; o=-0.002110276836901903
warmup step 302 ; o=-0.0021039522252976894
warmup step 303 ; o=-0.0020413114689290524
warmup step 304 ; o=-0.0020370380952954292
warmup step 305 ; o=-0.002109093125909567
warmup step 306 ; o=-0.002120169810950756
warmup step 307 ; o=-0.002123192185536027
warmup step 308 ; o=-0.002123192185536027
warmup step 309 ; o=-0.002123192185536027
warmup step 310 ; o=-0.0021059708669781685
warmup step 311 ; o=-0.002144215162843466
warmup step 312 ; o=-0.002144215162843466
warmup step 313 ; o=-0.0021646860986948013
warmup step 314 ; o=-0.0021975557319819927
warmup step 315 ; o=-0.002188927959650755
warmup step 316 ; o=-0.002188927959650755
warmup step 317 ; o=-0.002221275120973587
warmup step 318 ; o=-0.0022451002150774
warmup step 319 ; o=-0.0022467016242444515
warmup step 320 ; o=-0.002254401333630085
warmup step 321 ; o=-0.002254401333630085
warmup step 322 ; o=-0.002286799717694521
warmup step 323 ; o=-0.002197111491113901
warmup step 324 ; o=-0.002197111491113901
warmup step 325 ; o=-0.002241089940071106
warmup step 326 ; o=-0.0022811840754002333
warmup step 327 ; o=-0.002290163654834032
warmup step 328 ; o=-0.0022798527497798204
warmup step 329 ; o=-0.0022971779108047485
warmup step 330 ; o=-0.002283884445205331
warmup step 331 ; o=-0.002303744200617075
warmup step 332 ; o=-0.002303744200617075
warmup step 333 ; o=-0.002301632659509778
warmup step 334 ; o=-0.0022813875693827868
warmup step 335 ; o=-0.0022813875693827868
warmup step 336 ; o=-0.0022813875693827868
warmup step 337 ; o=-0.0022813875693827868
warmup step 338 ; o=-0.0022813875693827868
warmup step 339 ; o=-0.0022813875693827868
warmup step 340 ; o=-0.0022991937585175037
warmup step 341 ; o=-0.002297776285558939
warmup step 342 ; o=-0.0022748145274817944
warmup step 343 ; o=-0.0022748145274817944
warmup step 344 ; o=-0.0022748145274817944
warmup step 345 ; o=-0.002284055110067129
warmup step 346 ; o=-0.002284055110067129
warmup step 347 ; o=-0.002284055110067129
warmup step 348 ; o=-0.002304652938619256
warmup step 349 ; o=-0.0023582507856190205
warmup step 350 ; o=-0.002398802898824215
warmup step 351 ; o=-0.0024725105613470078
warmup step 352 ; o=-0.0024725105613470078
warmup step 353 ; o=-0.002499849069863558
warmup step 354 ; o=-0.0024802517145872116
warmup step 355 ; o=-0.0024802517145872116
warmup step 356 ; o=-0.002509737154468894
warmup step 357 ; o=-0.002509737154468894
warmup step 358 ; o=-0.002509737154468894
warmup step 359 ; o=-0.0024769387673586607
warmup step 360 ; o=-0.0024629891850054264
warmup step 361 ; o=-0.0024629891850054264
warmup step 362 ; o=-0.002429611748084426
warmup step 363 ; o=-0.0024125068448483944
warmup step 364 ; o=-0.002438812982290983
warmup step 365 ; o=-0.002426987048238516
warmup step 366 ; o=-0.002426987048238516
warmup step 367 ; o=-0.0023953644558787346
warmup step 368 ; o=-0.0023953644558787346
warmup step 369 ; o=-0.00238208519294858
warmup step 370 ; o=-0.00238208519294858
warmup step 371 ; o=-0.00238208519294858
warmup step 372 ; o=-0.00238208519294858
warmup step 373 ; o=-0.0023203352466225624
warmup step 374 ; o=-0.0024297991767525673
warmup step 375 ; o=-0.002360476180911064
warmup step 376 ; o=-0.002360476180911064
warmup step 377 ; o=-0.0023586200550198555
warmup step 378 ; o=-0.0023600957356393337
warmup step 379 ; o=-0.0023097703233361244
warmup step 380 ; o=-0.0022954584565013647
warmup step 381 ; o=-0.0022733050864189863
warmup step 382 ; o=-0.002289078664034605
warmup step 383 ; o=-0.002304995898157358
warmup step 384 ; o=-0.002318564336746931
warmup step 385 ; o=-0.0022719374392181635
warmup step 386 ; o=-0.0022719374392181635
warmup step 387 ; o=-0.002225585049018264
warmup step 388 ; o=-0.0022665129508823156
warmup step 389 ; o=-0.0023194127716124058
warmup step 390 ; o=-0.0022985090035945177
warmup step 391 ; o=-0.0022985090035945177
warmup step 392 ; o=-0.0022985090035945177
warmup step 393 ; o=-0.002299226587638259
warmup step 394 ; o=-0.0022821607999503613
warmup step 395 ; o=-0.0022784939501434565
warmup step 396 ; o=-0.0022784939501434565
warmup step 397 ; o=-0.002266721334308386
warmup step 398 ; o=-0.0023416453041136265
warmup step 399 ; o=-0.0023416453041136265
warmup step 400 ; o=-0.002357768826186657
warmup step 401 ; o=-0.0023961004335433245
warmup step 402 ; o=-0.0023961004335433245
warmup step 403 ; o=-0.002437848597764969
warmup step 404 ; o=-0.002437848597764969
warmup step 405 ; o=-0.002380461897701025
warmup step 406 ; o=-0.0023655989207327366
warmup step 407 ; o=-0.0023655989207327366
warmup step 408 ; o=-0.0023969393223524094
warmup step 409 ; o=-0.002375971060246229
warmup step 410 ; o=-0.002375971060246229
warmup step 411 ; o=-0.0023855729959905148
warmup step 412 ; o=-0.002347296103835106
warmup step 413 ; o=-0.00237691355869174
warmup step 414 ; o=-0.00237691355869174
warmup step 415 ; o=-0.00237691355869174
warmup step 416 ; o=-0.002379936631768942
warmup step 417 ; o=-0.0023902193643152714
warmup step 418 ; o=-0.0023817969486117363
warmup step 419 ; o=-0.0023458830546587706
warmup step 420 ; o=-0.0023630252107977867
warmup step 421 ; o=-0.002433110261335969
warmup step 422 ; o=-0.002433110261335969
warmup step 423 ; o=-0.0024797171354293823
warmup step 424 ; o=-0.0024510647635906935
warmup step 425 ; o=-0.0024178153835237026
warmup step 426 ; o=-0.002411150373518467
warmup step 427 ; o=-0.002411150373518467
warmup step 428 ; o=-0.002391817979514599
warmup step 429 ; o=-0.0023972555063664913
warmup step 430 ; o=-0.0023972555063664913
warmup step 431 ; o=-0.0023972555063664913
warmup step 432 ; o=-0.0023859848733991385
warmup step 433 ; o=-0.002431620843708515
warmup step 434 ; o=-0.0024143827613443136
warmup step 435 ; o=-0.0023441920056939125
warmup step 436 ; o=-0.002333439886569977
warmup step 437 ; o=-0.002314687706530094
warmup step 438 ; o=-0.002325827954337001
warmup step 439 ; o=-0.002325827954337001
warmup step 440 ; o=-0.002325827954337001
warmup step 441 ; o=-0.0023102876730263233
warmup step 442 ; o=-0.0022737125400453806
warmup step 443 ; o=-0.0022737125400453806
warmup step 444 ; o=-0.002299040788784623
warmup step 445 ; o=-0.002336764708161354
warmup step 446 ; o=-0.002354502212256193
warmup step 447 ; o=-0.002312344266101718
warmup step 448 ; o=-0.002312344266101718
warmup step 449 ; o=-0.002299766754731536
warmup step 450 ; o=-0.002299766754731536
warmup step 451 ; o=-0.0022682822309434414
warmup step 452 ; o=-0.002269310411065817
warmup step 453 ; o=-0.002293287543579936
warmup step 454 ; o=-0.002293287543579936
warmup step 455 ; o=-0.0022804855834692717
warmup step 456 ; o=-0.0022804855834692717
warmup step 457 ; o=-0.0022804855834692717
warmup step 458 ; o=-0.002299976535141468
warmup step 459 ; o=-0.002299976535141468
warmup step 460 ; o=-0.002371598966419697
warmup step 461 ; o=-0.002371598966419697
warmup step 462 ; o=-0.0023714876733720303
warmup step 463 ; o=-0.0023645535111427307
warmup step 464 ; o=-0.0023645535111427307
warmup step 465 ; o=-0.0023645535111427307
warmup step 466 ; o=-0.002338709309697151
warmup step 467 ; o=-0.002338709309697151
warmup step 468 ; o=-0.002338709309697151
warmup step 469 ; o=-0.002338709309697151
warmup step 470 ; o=-0.002338709309697151
warmup step 471 ; o=-0.0023667586501687765
warmup step 472 ; o=-0.0023667586501687765
warmup step 473 ; o=-0.0023663961328566074
warmup step 474 ; o=-0.0023663961328566074
warmup step 475 ; o=-0.002377514261752367
warmup step 476 ; o=-0.002377514261752367
warmup step 477 ; o=-0.0023971442133188248
warmup step 478 ; o=-0.0024246012326329947
warmup step 479 ; o=-0.0024246012326329947
warmup step 480 ; o=-0.002412985311821103
warmup step 481 ; o=-0.002412985311821103
warmup step 482 ; o=-0.002412985311821103
warmup step 483 ; o=-0.002392329042777419
warmup step 484 ; o=-0.002392329042777419
warmup step 485 ; o=-0.002392329042777419
warmup step 486 ; o=-0.002392329042777419
warmup step 487 ; o=-0.002392329042777419
warmup step 488 ; o=-0.002390449633821845
warmup step 489 ; o=-0.002390449633821845
warmup step 490 ; o=-0.002390449633821845
warmup step 491 ; o=-0.002407450694590807
warmup step 492 ; o=-0.002407450694590807
warmup step 493 ; o=-0.0024186610244214535
warmup step 494 ; o=-0.002401564735919237
warmup step 495 ; o=-0.002406905172392726
warmup step 496 ; o=-0.0023996576201170683
warmup step 497 ; o=-0.0024158242158591747
warmup step 498 ; o=-0.0024158242158591747
warmup step 499 ; o=-0.002412790898233652
warmup step 500 ; o=-0.002412790898233652
warmup step 501 ; o=-0.002386667300015688
warmup step 502 ; o=-0.002397884614765644
warmup step 503 ; o=-0.002417281735688448
warmup step 504 ; o=-0.0024254494346678257
warmup step 505 ; o=-0.0024306681007146835
warmup step 506 ; o=-0.0024222065694630146
warmup step 507 ; o=-0.0024222065694630146
warmup step 508 ; o=-0.002402924932539463
warmup step 509 ; o=-0.00238534202799201
warmup step 510 ; o=-0.00238534202799201
warmup step 511 ; o=-0.0023904298432171345
warmup step 512 ; o=-0.002387360902503133
warmup step 513 ; o=-0.002387360902503133
warmup step 514 ; o=-0.0023820761125534773
warmup step 515 ; o=-0.0023820761125534773
warmup step 516 ; o=-0.0023639982100576162
